Datum,Idx,S,MP,V,SD,M,KD,L,C
2014-01-15,1,0.14,0.11,0.087,0.095,0.126,0.116,0.127,0.098
2014-06-18,2,0.144,0.095,0.147,0.166,0.136,0.074,0.138,0.055
2014-07-01,3,0.107,0.179,0.159,0.122,0.095,0.13,0.139,0.123
2014-10-18,4,0.121,0.087,0.135,0.186,0.064,0.084,0.118,0.112
2015-01-14,5,0.107,0.128,0.113,0.151,0.148,0.148,0.103,0.11
2015-06-10,6,0.165,0.118,0.137,0.148,0.146,0.167,0.147,0.108
2015-07-01,7,0.121,0.12,0.105,0.176,0.105,0.125,0.168,0.139
2015-10-14,8,0.156,0.116,0.111,0.129,0.157,0.137,0.177,0.133
2016-01-13,9,0.149,0.089,0.146,0.138,0.103,0.072,0.144,0.096
2016-06-15,10,0.153,0.114,0.089,0.147,0.102,0.108,0.16,0.155
2016-07-01,11,0.118,0.111,0.149,0.171,0.167,0.142,0.138,0.164
2016-10-12,12,0.133,0.12,0.141,0.163,0.163,0.091,0.13,0.101
2017-01-11,13,0.173,0.116,0.141,0.129,0.158,0.084,0.161,0.129
2017-06-14,14,0.125,0.131,0.101,0.149,0.14,0.129,0.139,0.167
2017-07-01,15,0.102,0.109,0.17,0.246,0.171,0.151,0.152,0.157
2017-10-11,16,0.18,0.13,0.087,0.128,0.19,0.108,0.203,0.143
2018-01-17,17,0.131,0.15,0.147,0.144,0.193,0.131,0.179,0.146
2018-06-13,18,0.148,0.203,0.132,0.169,0.146,0.116,0.122,0.119
2018-07-01,19,0.119,0.152,0.107,0.167,0.157,0.136,0.103,0.149
